Item,System,Failure observation,Repair time
Component 1,System 01,3/19/1990,23.44
Component 1,System 01,8/16/1990,23.29
Component 1,System 01,9/24/1990,20.98
Component 1,System 01,12/6/1990,21.01
Component 1,System 01,1/20/1991,29.92
Component 1,System 01,3/30/1991,26.32
Component 1,System 01,5/19/1991,25.61
Component 1,System 01,6/9/1991,21.26
Component 1,System 01,11/22/1991,20.60
Component 1,System 01,2/14/1992,22.80
Component 1,System 01,2/23/1992,24.83
Component 1,System 01,4/16/1992,27.33
Component 1,System 01,5/19/1992,24.43
Component 1,System 01,8/23/1992,20.27
Component 1,System 01,9/1/1992,25.20
Component 1,System 01,11/27/1992,29.66
Component 1,System 01,3/31/1993,20.51
Component 1,System 01,5/31/1994,26.37
Component 1,System 01,6/13/1994,25.30
Component 1,System 01,9/13/1994,29.96
Component 1,System 01,12/8/1994,21.11
Component 1,System 01,12/13/1994,22.52
Component 1,System 01,1/16/1995,28.04
Component 1,System 01,9/8/1995,21.39
Component 1,System 01,10/8/1995,26.84
Component 1,System 01,10/20/1995,23.43
Component 1,System 01,2/19/1996,29.93
Component 1,System 01,3/28/1996,28.76
Component 1,System 01,7/5/1996,21.98
Component 1,System 01,7/26/1996,29.58
Component 1,System 01,8/23/1996,26.88
Component 1,System 01,11/9/1996,21.48
Component 1,System 01,1/3/1997,20.16
Component 1,System 01,2/15/1997,20.43
Component 1,System 01,6/14/1997,20.72
Component 1,System 01,8/10/1997,22.16
Component 1,System 01,10/10/1997,29.48
Component 1,System 01,1/13/1998,23.40
Component 1,System 01,2/27/1998,22.02
Component 1,System 01,3/13/1998,22.39
Component 1,System 01,6/17/1998,20.63
Component 1,System 01,6/18/1998,24.87
Component 1,System 01,8/31/1998,26.38
Component 1,System 01,9/9/1998,22.70
Component 1,System 01,10/21/1998,24.89
Component 1,System 01,6/22/1999,26.60
Component 1,System 01,10/23/1999,28.63
Component 1,System 01,11/19/1999,20.06
Component 1,System 01,1/16/2000,25.61
Component 1,System 01,1/28/2000,29.68
Component 1,System 01,5/11/2000,25.49
Component 1,System 01,5/20/2000,25.73
Component 1,System 01,6/8/2000,26.24
Component 1,System 01,8/16/2000,20.15
Component 1,System 01,8/26/2000,23.27
Component 1,System 01,9/15/2000,26.69
Component 1,System 01,10/13/2000,21.33
Component 1,System 01,11/13/2000,20.60
Component 1,System 01,1/30/2001,23.55
Component 1,System 01,2/26/2001,27.33
Component 1,System 01,3/5/2001,25.26
Component 1,System 01,6/3/2001,25.62
Component 1,System 01,8/21/2001,25.10
Component 1,System 01,12/11/2001,27.16
Component 1,System 01,3/14/2002,20.58
Component 1,System 01,3/15/2002,25.56
Component 1,System 01,4/21/2002,27.94
Component 1,System 01,9/24/2002,20.37
Component 1,System 01,11/29/2002,24.74
Component 1,System 01,2/4/2003,23.47
Component 1,System 01,3/1/2003,21.56
Component 1,System 01,4/18/2003,23.77
Component 1,System 01,5/7/2003,20.47
Component 1,System 01,5/7/2003,24.64
Component 1,System 01,5/22/2003,29.72
Component 1,System 01,6/23/2003,27.70
Component 1,System 01,12/16/2003,27.20
Component 1,System 01,1/12/2004,20.54
Component 1,System 01,2/22/2004,26.53
Component 1,System 01,6/29/2004,27.17
Component 1,System 01,11/21/2004,27.80
Component 1,System 01,1/27/2005,21.44
Component 1,System 01,5/15/2005,28.34
Component 1,System 01,7/8/2005,20.56
Component 1,System 01,12/14/2005,27.98
Component 1,System 01,1/16/2006,22.74
Component 1,System 01,4/3/2006,24.89
Component 1,System 01,10/15/2006,21.65
Component 1,System 01,1/20/2007,21.43
Component 1,System 01,3/22/2007,22.28
Component 1,System 01,5/18/2007,27.69
Component 1,System 01,5/29/2007,20.22
Component 1,System 01,9/11/2007,21.69
Component 1,System 01,11/24/2007,20.63
Component 1,System 01,1/17/2008,21.36
Component 1,System 01,7/22/2008,24.85
Component 1,System 01,1/10/2009,23.56
Component 1,System 01,2/4/2009,29.17
Component 1,System 01,4/28/2009,27.82
Component 1,System 01,7/7/2009,22.87
Component 1,System 01,8/12/2009,21.82
Component 1,System 01,9/21/2009,22.72
Component 1,System 01,1/2/2010,26.46
Component 1,System 01,2/10/2010,29.22
Component 1,System 01,3/12/2010,24.17
Component 1,System 01,6/2/2010,28.89
Component 1,System 01,6/13/2010,29.83
Component 1,System 01,1/29/2011,22.15
Component 1,System 01,8/7/2011,22.03
Component 1,System 01,4/8/2012,20.97
Component 1,System 01,10/30/2012,20.46
Component 1,System 01,11/14/2012,24.65
Component 1,System 01,12/18/2012,29.61
Component 1,System 01,2/1/2013,24.81
Component 1,System 01,2/28/2013,20.15
Component 1,System 01,11/23/2013,29.01
Component 1,System 01,4/28/2014,29.58
Component 1,System 01,7/2/2014,27.39
Component 1,System 01,9/11/2014,24.10
Component 1,System 01,9/24/2014,23.74
Component 1,System 01,4/29/2015,24.69
Component 1,System 02,4/19/1990,29.61
Component 1,System 02,5/4/1990,23.85
Component 1,System 02,5/17/1990,20.14
Component 1,System 02,6/8/1990,26.80
Component 1,System 02,7/3/1990,29.17
Component 1,System 02,7/9/1990,21.75
Component 1,System 02,7/28/1990,29.98
Component 1,System 02,10/28/1990,23.06
Component 1,System 02,11/12/1990,21.01
Component 1,System 02,2/2/1991,25.94
Component 1,System 02,5/30/1991,27.26
Component 1,System 02,6/4/1991,27.59
Component 1,System 02,2/6/1992,28.83
Component 1,System 02,4/7/1992,24.67
Component 1,System 02,4/25/1992,25.57
Component 1,System 02,6/11/1992,26.61
Component 1,System 02,6/27/1992,25.30
Component 1,System 02,7/7/1992,29.77
Component 1,System 02,7/19/1992,21.96
Component 1,System 02,12/16/1992,20.47
Component 1,System 02,4/24/1993,20.65
Component 1,System 02,5/30/1993,22.45
Component 1,System 02,7/19/1993,28.64
Component 1,System 02,8/16/1993,24.62
Component 1,System 02,8/22/1993,26.98
Component 1,System 02,10/30/1993,27.78
Component 1,System 02,12/26/1993,29.60
Component 1,System 02,2/19/1994,22.25
Component 1,System 02,2/27/1994,29.12
Component 1,System 02,3/25/1994,27.29
Component 1,System 02,4/6/1994,20.29
Component 1,System 02,4/9/1994,29.88
Component 1,System 02,5/10/1994,22.72
Component 1,System 02,7/28/1994,21.17
Component 1,System 02,10/4/1994,22.95
Component 1,System 02,11/21/1994,23.28
Component 1,System 02,12/16/1995,27.69
Component 1,System 02,1/21/1996,21.75
Component 1,System 02,2/6/1996,25.04
Component 1,System 02,3/14/1996,23.62
Component 1,System 02,3/24/1996,23.08
Component 1,System 02,6/21/1996,25.69
Component 1,System 02,6/30/1996,28.46
Component 1,System 02,8/21/1996,24.74
Component 1,System 02,2/20/1997,29.96
Component 1,System 02,3/18/1997,29.22
Component 1,System 02,3/27/1997,23.24
Component 1,System 02,3/29/1997,27.69
Component 1,System 02,10/29/1997,25.57
Component 1,System 02,1/13/1998,24.93
Component 1,System 02,1/14/1998,20.39
Component 1,System 02,1/21/1998,22.70
Component 1,System 02,5/4/1998,25.20
Component 1,System 02,5/12/1998,21.83
Component 1,System 02,7/1/1998,23.15
Component 1,System 02,9/8/1998,28.67
Component 1,System 02,1/9/1999,27.95
Component 1,System 02,2/7/1999,22.27
Component 1,System 02,2/9/1999,20.13
Component 1,System 02,2/24/1999,27.84
Component 1,System 02,2/28/1999,29.83
Component 1,System 02,6/4/1999,21.02
Component 1,System 02,10/15/1999,20.03
Component 1,System 02,10/28/1999,20.96
Component 1,System 02,11/17/1999,24.62
Component 1,System 02,12/29/1999,28.43
Component 1,System 02,5/4/2000,21.86
Component 1,System 02,7/3/2000,27.95
Component 1,System 02,7/4/2000,29.50
Component 1,System 02,10/1/2000,26.59
Component 1,System 02,10/4/2000,23.45
Component 1,System 02,10/6/2000,29.43
Component 1,System 02,11/12/2000,25.57
Component 1,System 02,6/18/2001,28.52
Component 1,System 02,8/1/2001,26.15
Component 1,System 02,8/18/2001,26.67
Component 1,System 02,8/21/2001,25.14
Component 1,System 02,9/30/2001,26.10
Component 1,System 02,10/5/2001,27.39
Component 1,System 02,10/19/2001,29.29
Component 1,System 02,12/8/2001,23.06
Component 1,System 02,12/27/2001,23.42
Component 1,System 02,9/18/2002,23.01
Component 1,System 02,11/15/2002,26.24
Component 1,System 02,11/24/2002,29.45
Component 1,System 02,12/16/2002,21.95
Component 1,System 02,5/8/2003,27.19
Component 1,System 02,6/7/2003,20.31
Component 1,System 02,7/30/2003,23.14
Component 1,System 02,9/27/2003,26.13
Component 1,System 02,9/27/2003,26.11
Component 1,System 02,11/1/2003,21.35
Component 1,System 02,1/10/2004,28.10
Component 1,System 02,2/4/2004,20.76
Component 1,System 02,12/5/2004,26.41
Component 1,System 02,5/10/2005,28.38
Component 1,System 02,8/20/2005,25.48
Component 1,System 02,10/15/2005,20.70
Component 1,System 02,10/24/2005,20.77
Component 1,System 02,11/19/2005,21.98
Component 1,System 02,12/6/2005,22.58
Component 1,System 02,1/20/2006,21.87
Component 1,System 02,3/1/2006,24.13
Component 1,System 02,3/31/2006,22.89
Component 1,System 02,6/11/2006,24.86
Component 1,System 02,6/24/2006,26.96
Component 1,System 02,6/29/2006,27.29
Component 1,System 02,8/29/2006,24.28
Component 1,System 02,3/11/2007,23.17
Component 1,System 02,3/20/2007,21.61
Component 1,System 02,3/23/2007,20.14
Component 1,System 02,4/16/2007,24.95
Component 1,System 02,4/23/2007,23.63
Component 1,System 02,7/16/2007,22.75
Component 1,System 02,1/4/2008,20.47
Component 1,System 02,2/17/2008,23.64
Component 1,System 02,6/10/2008,28.64
Component 1,System 02,6/12/2008,23.03
Component 1,System 02,6/28/2008,28.11
Component 1,System 02,8/21/2008,21.44
Component 1,System 02,9/10/2008,22.49
Component 1,System 02,9/21/2008,23.29
Component 1,System 02,11/3/2008,20.69
Component 1,System 02,11/4/2009,27.40
Component 1,System 02,7/1/2010,28.03
Component 1,System 02,7/16/2010,27.31
Component 1,System 02,7/19/2010,23.13
Component 1,System 02,9/24/2010,20.10
Component 1,System 02,10/10/2010,28.90
Component 1,System 02,10/27/2010,29.46
Component 1,System 02,11/14/2010,24.36
Component 1,System 02,11/25/2010,29.29
Component 1,System 02,3/20/2011,25.12
Component 1,System 02,6/20/2011,20.28
Component 1,System 02,7/15/2011,27.72
Component 1,System 02,12/5/2011,22.47
Component 1,System 02,5/4/2012,20.92
Component 1,System 02,12/12/2012,22.14
Component 1,System 02,1/15/2013,26.46
Component 1,System 02,1/22/2013,25.94
Component 1,System 02,3/7/2013,22.68
Component 1,System 02,4/14/2013,26.82
Component 1,System 02,5/14/2013,25.96
Component 1,System 02,6/3/2013,24.23
Component 1,System 02,6/16/2013,28.68
Component 1,System 02,9/9/2013,29.20
Component 1,System 02,5/5/2014,26.25
Component 1,System 02,8/27/2014,20.09
Component 1,System 02,10/3/2014,27.56
Component 1,System 02,12/28/2014,21.13
Component 1,System 02,4/12/2015,21.55
Component 1,System 02,4/17/2015,20.96
Component 1,System 02,5/27/2015,27.00
Component 1,System 02,5/30/2015,24.25
Component 1,System 02,6/27/2015,25.88
Component 1,System 02,7/18/2015,20.55
Component 1,System 02,9/16/2015,28.87
Component 1,System 03,1/19/1990,23.51
Component 1,System 03,2/14/1990,22.18
Component 1,System 03,6/27/1990,22.50
Component 1,System 03,12/24/1990,23.17
Component 1,System 03,3/11/1991,26.10
Component 1,System 03,5/30/1991,23.82
Component 1,System 03,6/1/1991,22.59
